title,price_ngn,listing_type,area,neighbourhood,address,bedrooms,bathrooms,toilets,property_type,description,pid,date_added,last_updated,source_url
5 Bedroom Duplex With A Bq,490000000,sale,Apo,Apo,Apo Resettlement Apo Abuja,5,5,6,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",9NCPM,20-Jun-25,24-Apr-26,https://www.propertypro.ng/property/5-bedroom-house-for-sale-apo-resettlement-apo-abuja-9NCPM
3 Bedroom Flat,80000000,sale,Apo,Apo,"In An Estate At Apo/wumba, Apo Abuja",3,3,4,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",3NKJZ,19-Aug-25,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-in-an-estate-at-apo-wumba-apo-abuja-3NKJZ
Newly Built 4 Bedroom Detached Duplex With A Bq,300000000,sale,Apo,Apo,"Apo Resettlement By The New Express, Apo Abuja",4,4,5,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",7PAAN,16-Jan-26,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-sale-apo-resettlement-by-the-new-express-apo-abuja-7PAAN
4 Bedroom Terraced Duplex With A Bq,300000000,sale,Apo,Apo,Apo Abuja,4,4,4,Terraced Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",8PFGZ,03-Mar-26,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-sale-apo-abuja-8PFGZ
A Newly Built 4 Bedroom Detached Duplex With A Bq,300000000,sale,Karsana,Karsana,Karsana Abuja,4,4,5,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",0PLZZ,23-Apr-26,26-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-sale-karsana-abuja-0PLZZ
Newly Built 1 Bedroom Bungalow With Bq,175000000,sale,Karsana,Karsana,Efab Verizon Karsana West Karsana Abuja,3,3,4,Bungalow,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",9PFBP,01-Mar-26,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-house-for-sale-efab-verizon-karsana-west-karsana-abuja-9PFBP
Beautiful And Newly 6bedroom Detached Duplex,370000000,sale,Karsana,Karsana,In An Estate Gwarimpa Extension Karsana Abuja,6,6,7,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",2PLMB,19-Apr-26,24-Apr-26,https://www.propertypro.ng/property/6-bedroom-house-for-sale-in-an-estate-gwarimpa-extension-karsana-abuja-2PLMB
2 Bedroom Flat,670000000,sale,Karsana,Karsana,Efab Metropolis Estate Karsana District Karsana Abuja,5,5,5,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",9NWAZ,29-Nov-25,24-Apr-26,https://www.propertypro.ng/property/5-bedroom-house-for-sale-efab-metropolis-estate-karsana-district-karsana-abuja-9NWAZ
Distress New 5 Bedroom Detached Duplex With Bq,330000000,sale,Karsana,Karsana,"Karsana Efab Metropolis, Karsana Abuja",5,5,6,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",0PERF,25-Feb-26,24-Apr-26,https://www.propertypro.ng/property/5-bedroom-house-for-sale-karsana-efab-metropolis-karsana-abuja-0PERF
Bungalow,260000000,sale,Karsana,Karsana,Efab Queens Karsana Abuja,3,3,4,Bungalow,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",1PFFE,02-Mar-26,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-house-for-sale-efab-queens-karsana-abuja-1PFFE
Spacious 5 Bedroom Detached Duplex With Bq,550000000,sale,Karsana,Karsana,"Karsana Efab Metropolis, Karsana Abuja",5,5,6,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",0PCMU,08-Feb-26,24-Apr-26,https://www.propertypro.ng/property/5-bedroom-house-for-sale-karsana-efab-metropolis-karsana-abuja-0PCMU
3 Bedroom Bungalow With Bq,165000000,sale,Karsana,Karsana,"Efab Verizon,karsana District Karsana Abuja",3,3,4,Bungalow,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",5NSRU,25-Oct-25,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-house-for-sale-efab-verizonkarsana-district-karsana-abuja-5NSRU
Newly Built 5 Bedroom Detached Duplex With Bq,330000000,sale,Karsana,Karsana,Efab Metropolis Estate Karsana Abuja,5,5,6,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",5PCJG,06-Feb-26,24-Apr-26,https://www.propertypro.ng/property/5-bedroom-house-for-sale-efab-metropolis-estate-karsana-abuja-5PCJG
4 Bedroom Terrace Duplex,120000000,sale,Karsana,Karsana,Karsana Abuja,4,4,5,Terraced Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",6PFKJ,04-Mar-26,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-sale-karsana-abuja-6PFKJ
5 Bedroom Fully Detached Duplex With 2 Bq,220000000,sale,Karsana,Karsana,Karsana Abuja,5,6,6,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",4PFKJ,04-Mar-26,24-Apr-26,https://www.propertypro.ng/property/5-bedroom-house-for-sale-karsana-abuja-4PFKJ
Standard 3 Bedroom Duplex,110000000,sale,Karsana,Karsana,Karsana Abuja,3,3,4,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",5NPXJ,30-Sep-25,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-house-for-sale-karsana-abuja-5NPXJ
5 Bedroom Detached Duplex With Bq,450000000,sale,Karsana,Karsana,Karsana Abuja,5,5,6,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",8NNGP,14-Sep-25,24-Apr-26,https://www.propertypro.ng/property/5-bedroom-house-for-sale-karsana-abuja-8NNGP
Newly Built 5 Bedroom,170000000,sale,Karsana,Karsana,In An Estate Karsana Abuja,5,5,6,House,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",7PLRA,20-Apr-26,24-Apr-26,https://www.propertypro.ng/property/5-bedroom-house-for-sale-in-an-estate-karsana-abuja-7PLRA
Newly Built 2 Bedroom Flat,50000000,sale,Karsana,Karsana,Opposite Belham Estate Karsana Abuja,2,2,3,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",5NEJG,04-Jul-25,24-Apr-26,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-sale-opposite-belham-estate-karsana-abuja-5NEJG
Newly Built 7 Bedroom Detached Apartment,650000000,sale,Karsana,Karsana,Gwarimpa Karsana Abuja,7,6,6,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",5NLMG,28-Aug-25,24-Apr-26,https://www.propertypro.ng/property/7-bedroom-house-for-sale-gwarimpa-karsana-abuja-5NLMG
4 Bedroom Semi Detached Duplex,200000000,sale,Karsana,Karsana,Karsana Abuja,4,4,,Semi-Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",5PFYC,09-Mar-26,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-sale-karsana-abuja-5PFYC
Very Clean 3 Bedroom,170000000,sale,Lokogoma,Lokogoma,Lokogoma Abuja,3,3,4,House,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",4PKZP,14-Apr-26,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-house-for-sale-lokogoma-abuja-4PKZP
Newly Built 3 Bedroom With A Bq,120000000,sale,Lokogoma,Lokogoma,Kabusa Garden Estate Lokogoma Abuja,3,3,4,House,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",2PKBS,06-Apr-26,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-house-for-sale-kabusa-garden-estate-lokogoma-abuja-2PKBS
Newly Built 4 Bedroom Fully Detached Duplex With Bq,400000000,sale,Lokogoma,Lokogoma,Lokogoma Abuja,4,4,5,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",1PFNC,04-Mar-26,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-sale-lokogoma-abuja-1PFNC
Newly Built 3 Bedroom Flat,110000000,sale,Lokogoma,Lokogoma,Sahara 4 Estate Lokogoma Abuja,3,3,4,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",9PHCZ,18-Mar-26,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-house-for-sale-sahara-4-estate-lokogoma-abuja-9PHCZ
Newly Built 4 Bedroom Detached Duplex With Bq,300000000,sale,Lokogoma,Lokogoma,Main Lokogoma Abuja,4,4,5,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",9PCYJ,12-Feb-26,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-sale-main-lokogoma-abuja-9PCYJ
5 Bedroom Detached Duplex With 1 Bq,475000000,sale,Lokogoma,Lokogoma,"Close To Sunnyvale, Lokogoma Abuja",5,5,6,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",4NYZM,06-Jan-26,24-Apr-26,https://www.propertypro.ng/property/5-bedroom-house-for-sale-close-to-sunnyvale-lokogoma-abuja-4NYZM
Luxurious 4bedroom Detached Duplex With 2bq,250000000,sale,Lokogoma,Lokogoma,Main Lokogoma Abuja,4,4,5,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",1PJSH,02-Apr-26,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-sale-main-lokogoma-abuja-1PJSH
4 Bedroom Detached Bungalow + 2 Bedroom Bungalow Bq,240000000,sale,Lokogoma,Lokogoma,Close To Ebeano Suppermarket Lokogoma Abuja,4,4,5,Bungalow,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",8NUEX,11-Nov-25,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-sale-close-to-ebeano-suppermarket-lokogoma-abuja-8NUEX
4 Bedroom Detached Duplex With Bq,350000000,sale,Lokogoma,Lokogoma,Lokogoma Abuja,4,4,,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",0PJAV,27-Mar-26,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-sale-lokogoma-abuja-0PJAV
Exquisitely Built 4 Bedroom Detached Duplex,200000000,sale,Lokogoma,Lokogoma,Lokogoma Abuja,4,4,5,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",0PMBT,24-Apr-26,25-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-sale-lokogoma-abuja-0PMBT
3 Bedroom Flat,150000000,sale,Lokogoma,Lokogoma,Along Sunnyvale Estate Road Lokogoma Abuja,3,3,4,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",8NJDB,06-Aug-25,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-house-for-sale-along-sunnyvale-estate-road-lokogoma-abuja-8NJDB
4 Bedroom Semi Detached Flat With Maid Room,210000000,sale,Lokogoma,Lokogoma,"Nelocap Estate, Lokogoma Abuja",4,4,5,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",6NLUB,31-Aug-25,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-sale-nelocap-estate-lokogoma-abuja-6NLUB
Standard 4 Bedroom Semi Detached Duplex With Bq,180000000,sale,Lokogoma,Lokogoma,"Close To Sunnyvale Estate, Lokogoma Abuja",4,4,5,Semi-Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",2NQQB,06-Oct-25,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-sale-close-to-sunnyvale-estate-lokogoma-abuja-2NQQB
3 Bedroom Bungalow,100000000,sale,Lokogoma,Lokogoma,"Very Close To Sunnyvale Estate, Lokogoma Abuja",3,3,4,Bungalow,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",2NTEF,30-Oct-25,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-house-for-sale-very-close-to-sunnyvale-estate-lokogoma-abuja-2NTEF
Newly Built 3 Bedroom,110000000,sale,Lokogoma,Lokogoma,Close To Sahara 4 Estate Lokogoma Abuja,3,3,4,House,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",1PKHP,09-Apr-26,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-house-for-sale-close-to-sahara-4-estate-lokogoma-abuja-1PKHP
Newly Built 3 Bedroom Flat,65000000,sale,Lokogoma,Lokogoma,Lokogoma Abuja,3,3,4,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",0NBZB,16-Jun-25,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-lokogoma-abuja-0NBZB
3 Bedroom Flat,60000000,sale,Lokogoma,Lokogoma,Grenadine Estate Close To Ipent 3 Lokogoma Abuja,3,3,4,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",3NCFC,18-Jun-25,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-grenadine-estate-close-to-ipent-3-lokogoma-abuja-3NCFC
Newly Built 2 Bedroom Duplex,95000000,sale,Lokogoma,Lokogoma,By Urban Shelter Lokogoma Abuja,2,2,3,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",5NZUV,14-Jan-26,24-Apr-26,https://www.propertypro.ng/property/2-bedroom-house-for-sale-by-urban-shelter-lokogoma-abuja-5NZUV
4 Bedroom Detached Duplex,235000000,sale,Lokogoma,Lokogoma,Close To Ipent 3 Lokogoma Abuja,4,4,5,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",0NLME,28-Aug-25,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-sale-close-to-ipent-3-lokogoma-abuja-0NLME
3 Bedroom Bungalow With Boys Quarters,180000000,sale,Lokogoma,Lokogoma,"An Estate Opposite Sunnyvale Estate, Lokogoma Abuja",3,3,4,Bungalow,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",6NLUL,31-Aug-25,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-house-for-sale-an-estate-opposite-sunnyvale-estate-lokogoma-abuja-6NLUL
Standard 3 Bedroom Flat With A Bq,120000000,sale,Galadimawa,Galadimawa,"Brains And Hammers Estate, Galadimawa Abuja",3,3,4,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",3PCDY,05-Feb-26,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-brains-and-hammers-estate-galadimawa-abuja-3PCDY
Luxurious 4 Bedroom Detached Duplex With Bq/pool,480000000,sale,Galadimawa,Galadimawa,"Close To Sunnyvale Estate, Galadimawa Abuja",5,5,6,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",3NRPC,15-Oct-25,24-Apr-26,https://www.propertypro.ng/property/5-bedroom-house-for-sale-close-to-sunnyvale-estate-galadimawa-abuja-3NRPC
Luxurious 4bedroom Detached Duplex +2rooms Bq,295000000,sale,Galadimawa,Galadimawa,Gadimawa Galadimawa Abuja,4,5,6,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",8PJSG,02-Apr-26,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-sale-gadimawa-galadimawa-abuja-8PJSG
Standard 3 Bedroom Penthouse,150000000,sale,Galadimawa,Galadimawa,"Close To Standard Estate, Galadimawa Abuja",3,3,4,House,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",6PFJA,03-Mar-26,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-house-for-sale-close-to-standard-estate-galadimawa-abuja-6PFJA
5 Bedroom Flat With A Bq,370000000,sale,Galadimawa,Galadimawa,Galadimawa Abuja,5,4,6,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",0NBEK,07-Jun-25,24-Apr-26,https://www.propertypro.ng/property/5-bedroom-house-for-sale-galadimawa-abuja-0NBEK
Newly Built 2 Bedroom Flat,80000000,sale,Galadimawa,Galadimawa,"Close To Brains And Hammers Estate, Galadimawa Abuja",2,2,3,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",2PEZS,28-Feb-26,24-Apr-26,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-sale-close-to-brains-and-hammers-estate-galadimawa-abuja-2PEZS
Standard 4 Bedroom Duplex,120000000,sale,Galadimawa,Galadimawa,Brains And Hammers Estate Galadimawa Abuja,4,4,5,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",5NJLW,10-Aug-25,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-sale-brains-and-hammers-estate-galadimawa-abuja-5NJLW
Newly Built Serviced 3 Bedroom Flat,120000000,sale,Galadimawa,Galadimawa,Tarred Road Galadimawa Abuja,3,3,4,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",2NKFU,18-Aug-25,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-tarred-road-galadimawa-abuja-2NKFU
Newly Built 5 Bedroom With Bq,260000000,sale,Galadimawa,Galadimawa,In An Estate Galadimawa Abuja,5,5,6,House,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",9PMAV,24-Apr-26,24-Apr-26,https://www.propertypro.ng/property/5-bedroom-house-for-sale-in-an-estate-galadimawa-abuja-9PMAV
Newly Built 4 Bedroom Detached Duplex With Two Bq,170000000,sale,Galadimawa,Galadimawa,Behind Suncity Estate Galadimawa Abuja,4,4,5,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",5NJKU,10-Aug-25,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-sale-behind-suncity-estate-galadimawa-abuja-5NJKU
5 Bedroom Duplex With Bq For Sale Near Suncity Estate,250000000,sale,Galadimawa,Galadimawa,"Behind Suncity Estate, Galadimawa Abuja",5,7,7,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",1PHPX,23-Mar-26,24-Apr-26,https://www.propertypro.ng/property/5-bedroom-house-for-sale-behind-suncity-estate-galadimawa-abuja-1PHPX
