title,price_ngn,listing_type,area,neighbourhood,address,bedrooms,bathrooms,toilets,property_type,description,pid,date_added,last_updated,source_url,price_million_ngn,price_formatted
5 Bedroom Detached Duplex With Bq,850000000,Sale,Wuse-2,Wuse,Wuse 2 Abuja,5,5,5,Detached Duplex,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",4PEHD,2026-02-23,2026-04-24,https://www.propertypro.ng/property/5-bedroom-house-for-sale-wuse-2-abuja-4PEHD,850.0,"₦850,000,000"
2 Bedroom Luxury Apartment,250000000,Sale,Wuse-2,Wuse,Wuse 2 Abuja,2,2,5,Flat/Apartment,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",9PCWQ,2026-02-11,2026-04-24,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-sale-wuse-2-abuja-9PCWQ,250.0,"₦250,000,000"
7 Bedroom Terrace Duplex,800000000,Sale,Wuse-2,Wuse,Wuse 2 Abuja,7,7,5,Terraced Duplex,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",1PFDC,2026-03-02,2026-04-24,https://www.propertypro.ng/property/7-bedroom-house-for-sale-wuse-2-abuja-1PFDC,800.0,"₦800,000,000"
4 Bedroom Semi Detached Duplex With Bq,950000000,Sale,Wuse-2,Wuse,Wuse 2 Abuja,4,4,5,Semi-Detached Duplex,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",5NZMT,2026-01-12,2026-04-24,https://www.propertypro.ng/property/4-bedroom-house-for-sale-wuse-2-abuja-5NZMT,950.0,"₦950,000,000"
4 Bedroom Semi Detached Duplex With Bq,850000000,Sale,Wuse-2,Wuse,Wuse 2 Abuja,4,4,5,Semi-Detached Duplex,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",7PBDJ,2026-01-26,2026-04-24,https://www.propertypro.ng/property/4-bedroom-house-for-sale-wuse-2-abuja-7PBDJ,850.0,"₦850,000,000"
Newly Built 4 Bedroom Terrace Duplex With Bq,150000000,Sale,Gwarinpa,Gwarinpa,Gwarinpa Abuja,4,4,5,Terraced Duplex,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",0PDPE,2026-02-17,2026-04-24,https://www.propertypro.ng/property/4-bedroom-house-for-sale-gwarinpa-abuja-0PDPE,150.0,"₦150,000,000"
2 Bedroom Flat,350000000,Sale,Gwarinpa,Gwarinpa,Gwarinpa Abuja,2,3,3,Flat/Apartment,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",2PBRE,2026-01-30,2026-04-24,https://www.propertypro.ng/property/2-bedroom-house-for-sale-gwarinpa-abuja-2PBRE,350.0,"₦350,000,000"
4 Bedroom Detached Duplex,365000000,Sale,Gwarinpa,Gwarinpa,Gwarimpa In A Serene And Secured Estate Gwarinpa Abuja,4,4,5,Detached Duplex,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",2PFFK,2026-03-02,2026-04-24,https://www.propertypro.ng/property/4-bedroom-house-for-sale-gwarimpa-in-a-serene-and-secured-estate-gwarinpa-abuja-2PFFK,365.0,"₦365,000,000"
4 Bedroom Terrace With Bq,210000000,Sale,Gwarinpa,Gwarinpa,Gwarimpa Gwarinpa Abuja,4,4,5,House,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",9PDQX,2026-02-18,2026-04-24,https://www.propertypro.ng/property/4-bedroom-house-for-sale-gwarimpa-gwarinpa-abuja-9PDQX,210.0,"₦210,000,000"
Newly Built 3 Bedroom Duplex,150000000,Sale,Gwarinpa,Gwarinpa,News Engineering Dawaki Gwarinpa Abuja,3,3,4,Detached Duplex,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",1PGNH,2026-03-13,2026-04-24,https://www.propertypro.ng/property/3-bedroom-house-for-sale-news-engineering-dawaki-gwarinpa-abuja-1PGNH,150.0,"₦150,000,000"
Newly Built 5 Bedroom Terrace Duplex With Bq,250000000,Sale,Gwarinpa,Gwarinpa,Trans Engineering Dawaki Gwarinpa Abuja,5,5,6,Terraced Duplex,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",8PFBF,2026-03-01,2026-04-24,https://www.propertypro.ng/property/5-bedroom-house-for-sale-trans-engineering-dawaki-gwarinpa-abuja-8PFBF,250.0,"₦250,000,000"
Fully Furnished 6 Bedrooms With Bq,300000000,Sale,Gwarinpa,Gwarinpa,Dantata Estate Gwarinpa Abuja,6,6,7,House,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",0PJLL,2026-03-31,2026-04-24,https://www.propertypro.ng/property/6-bedroom-house-for-sale-dantata-estate-gwarinpa-abuja-0PJLL,300.0,"₦300,000,000"
4 Bedroom Terrace Duplex With Bq,280000000,Sale,Gwarinpa,Gwarinpa,Main Gwarinpa Abuja,4,4,5,Terraced Duplex,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",2PFCA,2026-03-01,2026-04-24,https://www.propertypro.ng/property/4-bedroom-house-for-sale-main-gwarinpa-abuja-2PFCA,280.0,"₦280,000,000"
"7Bedroom Detached Duplex, Bq & Swimming Pool",550000000,Sale,Gwarinpa,Gwarinpa,Main Gwarinpa Abuja,7,7,8,Detached Duplex,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",4PKJA,2026-04-09,2026-04-24,https://www.propertypro.ng/property/7-bedroom-house-for-sale-main-gwarinpa-abuja-4PKJA,550.0,"₦550,000,000"
5 Bedroom Detached Duplex With Bq,400000000,Sale,Gwarinpa,Gwarinpa,Main Gwarinpa Abuja,5,5,6,Detached Duplex,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",8PBEN,2026-01-26,2026-04-24,https://www.propertypro.ng/property/5-bedroom-house-for-sale-main-gwarinpa-abuja-8PBEN,400.0,"₦400,000,000"
Luxurious 5 Bedroom Terraced Duplex With Bq,250000000,Sale,Gwarinpa,Gwarinpa,Main Gwarinpa Abuja,5,5,6,Terraced Duplex,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",9NZZR,2026-01-16,2026-04-24,https://www.propertypro.ng/property/5-bedroom-house-for-sale-main-gwarinpa-abuja-9NZZR,250.0,"₦250,000,000"
Distress 3 Bedrooms Flat Ensuite,65000000,Sale,Gwarinpa,Gwarinpa,Dawaki Opposite Gwarinpa Gwarinpa Abuja,3,4,4,Flat/Apartment,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",4PMFZ,2026-04-25,2026-04-25,https://www.propertypro.ng/property/3-bedroom-house-for-sale-dawaki-opposite-gwarinpa-gwarinpa-abuja-4PMFZ,65.0,"₦65,000,000"
Newly Built 4 Bedroom Terraced Duplex With Bq,200000000,Sale,Gwarinpa,Gwarinpa,Gwarimpa 6Avenue Gwarinpa Abuja,4,4,5,Terraced Duplex,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",7NSPU,2025-10-24,2026-04-24,https://www.propertypro.ng/property/4-bedroom-house-for-sale-gwarimpa-6avenue-gwarinpa-abuja-7NSPU,200.0,"₦200,000,000"
