title,price_ngn,listing_type,area,neighbourhood,address,bedrooms,bathrooms,toilets,property_type,description,pid,date_added,last_updated,source_url,price_million_ngn,price_formatted
33 Units Of Spacious Apartment,3500000000,Sale,Utako,Utako,Utako Abuja,1,1,4,Flat/Apartment,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",7NKKQ,2025-08-19,2026-04-24,https://www.propertypro.ng/property/1-bedroom-house-for-sale-utako-abuja-7NKKQ,3500.0,"₦3,500,000,000"
6 Units Of 3 Bedroom Flat With Bq,780000000,Sale,Utako,Utako,Utako Abuja,3,3,4,Flat/Apartment,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",4PCYR,2026-02-12,2026-04-24,https://www.propertypro.ng/property/3-bedroom-house-for-sale-utako-abuja-4PCYR,780.0,"₦780,000,000"
4 Units Of 5 Bedroom Detached Duplex With Bq,4500000000,Sale,Utako,Utako,Utako Abuja,5,5,6,Detached Duplex,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",9NRVU,2025-10-17,2026-04-24,https://www.propertypro.ng/property/5-bedroom-house-for-sale-utako-abuja-9NRVU,4500.0,"₦4,500,000,000"
Fully Furnished 3 Bedroom Block Of Flat,30000000,Rent,Maitama,Maitama,Maitama Main Maitama Abuja,3,4,4,Flat/Apartment,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",3PHHN,2026-03-20,2026-04-24,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-maitama-main-maitama-abuja-3PHHN,30.0,"₦30,000,000"
Fully Furnished 2 Bedroom Block Of Flat,15000000,Rent,Asokoro,Asokoro,Asokoro Abuja Diplomatic Zone Asokoro Abuja,2,3,3,Flat/Apartment,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",8PLMJ,2026-04-19,2026-04-24,https://www.propertypro.ng/property/2-bedroom-house-for-rent-asokoro-abuja-diplomatic-zone-asokoro-abuja-8PLMJ,15.0,"₦15,000,000"
Newly Built 2 Bedroom Block Of Flats,3000000,Rent,Lugbe,Lugbe,Along Von Garden Estate Road Lugbe Abuja,2,3,3,Flat/Apartment,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",2PJBJ,2026-03-27,2026-04-24,https://www.propertypro.ng/property/2-bedroom-house-for-rent-along-von-garden-estate-road-lugbe-abuja-2PJBJ,3.0,"₦3,000,000"
2 Bedroom Block Of Flats,3000000,Rent,Lugbe,Lugbe,Airport Road Lugbe Abuja,2,3,3,Flat/Apartment,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",1PJEQ,2026-03-29,2026-04-24,https://www.propertypro.ng/property/2-bedroom-house-for-rent-airport-road-lugbe-abuja-1PJEQ,3.0,"₦3,000,000"
Standard 3 Bedroom Block Of Flats,5000000,Rent,Lugbe,Lugbe,River Park Estate Lugbe Abuja,3,4,4,Flat/Apartment,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",9PKYW,2026-04-14,2026-04-24,https://www.propertypro.ng/property/3-bedroom-house-for-rent-river-park-estate-lugbe-abuja-9PKYW,5.0,"₦5,000,000"
Standard 2 Bedroom Block Of Flats,2800000,Rent,Lugbe,Lugbe,"Fha, Lugbe Abuja",2,3,3,Flat/Apartment,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",6PKDG,2026-04-07,2026-04-24,https://www.propertypro.ng/property/2-bedroom-house-for-rent-fha-lugbe-abuja-6PKDG,2.8,"₦2,800,000"
Newly Built 2 Bedroom Block Of Flats,2500000,Rent,Lugbe,Lugbe,Pyakasa Lugbe Lugbe Abuja,2,3,3,Flat/Apartment,"Safety Tipsdo Not Make Any Inspection Fee Without Seeing The Agent And Property.Only Pay Rental Fee, Sales Fee Or Any Upfront Payment After You Verify The Landlord.Ensure You Meet The Agent In An Open Location.The Agent Does Not Represent Propertypro And Propertypro Is Not Liable For Any Monetary Transaction Between You And The Agent.",9PKZN,2026-04-14,2026-04-24,https://www.propertypro.ng/property/2-bedroom-house-for-rent-pyakasa-lugbe-lugbe-abuja-9PKZN,2.5,"₦2,500,000"
